data_name,Zeng,vConv-based network
SydhK562Brf1UniPk,0.7154,0.8104
HaibHepg2Hnf4gsc6558V0416101UniPk,0.9395,0.9431
BroadHelas3Ezh239875UniPk,0.6753,0.7009
HaibPanc1NrsfPcr2xUniPk,0.929,0.9257
HaibH1hescBcl11aPcr1xUniPk,0.8759,0.901
SydhNb4CmycUniPk,0.8734,0.8843
UtaHelas3Pol2UniPk,0.7894,0.8022
SydhHelas3Elk112771IggrabUniPk,0.8945,0.8948
HaibA549Elf1V0422111Etoh02UniPk,0.8704,0.8784
SydhK562CjunUniPk,0.9602,0.9654
UwHaspCtcfUniPk,0.9847,0.9869
SydhK562Irf1Ifng30UniPk,0.8132,0.825
SydhK562Stat1Ifna6hUniPk,0.8406,0.8491
HaibHepg2Sp2V0422111UniPk,0.9185,0.9182
HaibH1hescEgr1V0416102UniPk,0.8653,0.8797
HaibEcc1CtcfcV0416102Dm002p1hUniPk,0.9894,0.9905
SydhMcf10aesCmycEtoh01HvdUniPk,0.9098,0.922
SydhNt2d1Yy1UcdUniPk,0.9433,0.9417
HaibGm12878NrsfPcr1xUniPk,0.9053,0.9169
SydhK562Corestsc30189IggrabUniPk,0.9015,0.9144
SydhGm12878MaxIggmusUniPk,0.8229,0.8358
UtaGm12891CtcfUniPk,0.948,0.9548
SydhGm12878Ctcfsc15914c20UniPk,0.981,0.9852
SydhGm18505NfkbTnfaIggrabUniPk,0.8737,0.8877
HaibHepg2Atf3V0416101UniPk,0.9233,0.9279
SydhPbdeGata1UcdUniPk,0.8625,0.8699
HaibH1hescSin3ak20Pcr1xUniPk,0.8179,0.8342
HaibGm12878Bcl3V0416101UniPk,0.8718,0.8697
SydhHelas3E2f1UniPk,0.8417,0.8514
HaibGm12878P300Pcr1xUniPk,0.8163,0.8368
HaibA549Usf1V0422111Etoh02UniPk,0.9078,0.9229
SydhK562Bach1sc14700IggrabUniPk,0.9316,0.9417
SydhGm08714Znf274UcdUniPk,0.912,0.9357
