,data_set,1layer_local_win9,2layer_local_win3,1layer_64motif,2layer,1layer_local_win3,1layer,3layer,1layer_128motif,1layer_1motif
0,wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.7987386569344764,0.7435870571184102,0.7435870571184102,0.7733581294637399,0.7741963085197408,0.8470625898568693,0.7878819098841102,0.8749640572522861,0.6561312215877673
1,wgEncodeAwgTfbsUwWerirb1CtcfUniPk,0.9763042714392656,0.9802170467474902,0.9802170467474902,0.9800718525953822,0.9731316936040942,0.9742670973169865,0.9829864226895255,0.9801763982494263,0.8995067441162543
2,wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk,0.6525597030604385,0.5846464504984008,0.5846464504984008,0.6268798001727478,0.6023601092513481,0.639533580782968,0.6693862782174289,0.7462824194037865,0.5813724117001657
3,wgEncodeAwgTfbsHaibHepg2Cebpdsc636V0416101UniPk,0.8248838226434161,0.8385917846493074,0.8385917846493074,0.8255789058494525,0.804288067149546,0.841327424491793,0.8242897377692971,0.8737872149578236,0.688300802112163
4,wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01cUniPk,0.945566963675869,0.9503723523204926,0.9503723523204926,0.9442847238050072,0.9380441507082059,0.9417126344221626,0.9436391009871791,0.9493715617769691,0.7937327686120468
5,wgEncodeAwgTfbsHaibH1hescPol24h8V0416102UniPk,0.7451797507645224,0.7364122367113298,0.7364122367113298,0.7414679620068622,0.7301029574030811,0.7462967868823485,0.7430287914289169,0.7827831611816873,0.620968198253943
6,wgEncodeAwgTfbsSydhHepg2Tcf7l2UcdUniPk,0.6514487718444916,0.5470451308063787,0.5470451308063787,0.7023625056456937,0.5292012646353751,0.783709133863739,0.6850797345655422,0.793433624014175,0.5257617343570857
7,wgEncodeAwgTfbsSydhGm12892Pol2IggmusUniPk,0.7638554015136293,0.7807878687136266,0.7807878687136266,0.7762076715170486,0.7407669027526622,0.7626141104343137,0.7727513943526186,0.8124070835492389,0.618079734762363
8,wgEncodeAwgTfbsSydhNt2d1Suz12UcdUniPk,0.6765868380062305,0.6327334014797508,0.6327334014797508,0.6139505451713396,0.6522220599688473,0.7184530763239876,0.6734082943925234,0.7553908683800623,0.6026893496884735
9,wgEncodeAwgTfbsSydhK562Stat1Ifng30UniPk,0.8701130750881616,0.8832028342126856,0.8832028342126856,0.8799208854741167,0.845634301798008,0.9034433293305151,0.860832332628765,0.9259089204888147,0.8544803490602433
