TF.CellLine.Antibody.Lab.renamed,Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control,TF.CellLine.Antibody.Lab,DeepBind.star,DeepBind,MEME.SUM,MEME.M1
ARID3A_HepG2_ARID3A_(NB100_279)_Stanford,HepG2,ARID3A,Stanford,None,ARID3A+AF8-(NB100+AC0-279),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk,IgG+AC0-rab,ARID3A_HepG2_ARID3A_(NB100-279)_Stanford,0.918035,0.791345,0.779852,0.738008
ARID3A_K562_ARID3A_(sc_8821)_Stanford,K562,ARID3A,Stanford,None,ARID3A+AF8-(sc+AC0-8821),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,IgG+AC0-rab,ARID3A_K562_ARID3A_(sc-8821)_Stanford,0.887535,0.809894,0.796516,0.608684
ATF1_K562_ATF1_(06_325)_Harvard,K562,ATF1,Harvard,None,ATF1+AF8-(06+AC0-325),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Atf106325UniPk,std,ATF1_K562_ATF1_(06-325)_Harvard,0.934039,0.952862,0.899556,0.91806
ATF2_GM12878_ATF2_(SC_81188)_HudsonAlpha,GM12878,ATF2,HudsonAlpha,None,ATF2+AF8-(SC+AC0-81188),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk,NA,ATF2_GM12878_ATF2_(SC-81188)_HudsonAlpha,0.930987,0.82465,0.790124,0.625448
ATF2_H1_hESC_ATF2_(SC_81188)_HudsonAlpha,H1+AC0-hESC,ATF2,HudsonAlpha,None,ATF2+AF8-(SC+AC0-81188),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescAtf2sc81188V0422111UniPk,NA,ATF2_H1-hESC_ATF2_(SC-81188)_HudsonAlpha,0.852653,0.798779,0.764932,0.7761
ATF3_H1_hESC_ATF3_HudsonAlpha,H1+AC0-hESC,ATF3,HudsonAlpha,None,ATF3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescAtf3V0416102UniPk,NA,ATF3_H1-hESC_ATF3_HudsonAlpha,0.953591,0.923065,0.887252,0.839556
ATF3_HepG2_ATF3_HudsonAlpha,HepG2,ATF3,HudsonAlpha,None,ATF3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Atf3V0416101UniPk,NA,ATF3_HepG2_ATF3_HudsonAlpha,0.934139,0.887938,0.872092,0.743784
ATF3_K562_ATF3_HudsonAlpha,K562,ATF3,HudsonAlpha,None,ATF3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,NA,ATF3_K562_ATF3_HudsonAlpha,0.878204,0.935829,0.871224,0.582208
BACH1_H1_hESC_Bach1_(sc_14700)_Stanford,H1+AC0-hESC,BACH1,Stanford,None,Bach1+AF8-(sc+AC0-14700),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk,IgG+AC0-rab,BACH1_H1-hESC_Bach1_(sc-14700)_Stanford,0.968756,0.950708,0.88392,0.857392
BACH1_K562_Bach1_(sc_14700)_Stanford,K562,BACH1,Stanford,None,Bach1+AF8-(sc+AC0-14700),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,IgG+AC0-rab,BACH1_K562_Bach1_(sc-14700)_Stanford,0.986404,0.980667,0.945256,0.950836
BATF_GM12878_BATF_HudsonAlpha,GM12878,BATF,HudsonAlpha,None,BATF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk,NA,BATF_GM12878_BATF_HudsonAlpha,0.987543,0.971481,0.930604,0.960592
BCL11A_GM12878_BCL11A_HudsonAlpha,GM12878,BCL11A,HudsonAlpha,None,BCL11A,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk,NA,BCL11A_GM12878_BCL11A_HudsonAlpha,0.962247,0.855617,0.853972,0.677648
BCL11A_H1_hESC_BCL11A_HudsonAlpha,H1+AC0-hESC,BCL11A,HudsonAlpha,None,BCL11A,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk,NA,BCL11A_H1-hESC_BCL11A_HudsonAlpha,0.91275,0.881446,0.819268,0.692888
BCL3_GM12878_BCL3_HudsonAlpha,GM12878,BCL3,HudsonAlpha,None,BCL3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk,NA,BCL3_GM12878_BCL3_HudsonAlpha,0.878307,0.774087,0.619916,0.552472
BCL3_K562_BCL3_HudsonAlpha,K562,BCL3,HudsonAlpha,None,BCL3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk,NA,BCL3_K562_BCL3_HudsonAlpha,0.748756,0.755663,0.694524,0.681024
BCLAF1_GM12878_BCLAF1_(SC_101388)_HudsonAlpha,GM12878,BCLAF1,HudsonAlpha,None,BCLAF1+AF8-(SC+AC0-101388),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk,NA,BCLAF1_GM12878_BCLAF1_(SC-101388)_HudsonAlpha,0.789699,0.753347,0.749988,0.687956
BCLAF1_K562_BCLAF1_(SC_101388)_HudsonAlpha,K562,BCLAF1,HudsonAlpha,None,BCLAF1+AF8-(SC+AC0-101388),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,NA,BCLAF1_K562_BCLAF1_(SC-101388)_HudsonAlpha,0.796709,0.707944,0.693628,0.686028
BDP1_K562_BDP1_Harvard,K562,BDP1,Harvard,None,BDP1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Bdp1UniPk,std,BDP1_K562_BDP1_Harvard,0.716702,0.73563,0.559138,0.547356
BHLHE40_A549_BHLHE40_Stanford,A549,BHLHE40,Stanford,None,BHLHE40,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhA549Bhlhe40IggrabUniPk,IgG+AC0-rab,BHLHE40_A549_BHLHE40_Stanford,0.92631,0.908385,0.895724,0.8935
BHLHE40_GM12878_BHLHE40_(NB100_1800)_Stanford,GM12878,BHLHE40,Stanford,None,BHLHE40+AF8-(NB100+AC0-1800),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Bhlhe40cIggmusUniPk,IgG+AC0-mus,BHLHE40_GM12878_BHLHE40_(NB100-1800)_Stanford,0.931603,0.900133,0.893544,0.896948
BHLHE40_HepG2_BHLHE40_(NB100_1800)_Stanford,HepG2,BHLHE40,Stanford,None,BHLHE40+AF8-(NB100+AC0-1800),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Bhlhe40cIggrabUniPk,IgG+AC0-rab,BHLHE40_HepG2_BHLHE40_(NB100-1800)_Stanford,0.923165,0.881067,0.898636,0.881156
BHLHE40_HepG2_BHLHE40_HudsonAlpha,HepG2,BHLHE40,HudsonAlpha,None,BHLHE40,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Bhlhe40V0416101UniPk,NA,BHLHE40_HepG2_BHLHE40_HudsonAlpha,0.960711,0.939826,0.929804,0.917196
BHLHE40_K562_BHLHE40_(NB100_1800)_Stanford,K562,BHLHE40,Stanford,None,BHLHE40+AF8-(NB100+AC0-1800),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,IgG+AC0-rab,BHLHE40_K562_BHLHE40_(NB100-1800)_Stanford,0.957031,0.941593,0.92504,0.931292
BRCA1_GM12878_BRCA1_(A300_000A)_Stanford,GM12878,BRCA1,Stanford,None,BRCA1+AF8-(A300+AC0-000A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk,IgG+AC0-mus,BRCA1_GM12878_BRCA1_(A300-000A)_Stanford,0.974825,0.96594,0.956957,0.956641
BRCA1_H1_hESC_BRCA1_(A300_000A)_Stanford,H1+AC0-hESC,BRCA1,Stanford,None,BRCA1+AF8-(A300+AC0-000A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescBrca1IggrabUniPk,IgG+AC0-rab,BRCA1_H1-hESC_BRCA1_(A300-000A)_Stanford,0.903368,0.890369,0.824628,0.800552
BRCA1_HeLa_S3_BRCA1_(A300_000A)_Stanford,HeLa+AC0-S3,BRCA1,Stanford,None,BRCA1+AF8-(A300+AC0-000A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Brca1a300IggrabUniPk,IgG+AC0-rab,BRCA1_HeLa-S3_BRCA1_(A300-000A)_Stanford,0.935324,0.928374,0.891576,0.761544
CBX3_K562_CBX3_(SC_101004)_HudsonAlpha,K562,CBX3,HudsonAlpha,None,CBX3+AF8-(SC+AC0-101004),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk,NA,CBX3_K562_CBX3_(SC-101004)_HudsonAlpha,0.86907,0.747595,0.619292,0.532136
CCNT2_K562_CCNT2_Harvard,K562,CCNT2,Harvard,None,CCNT2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Ccnt2UniPk,std,CCNT2_K562_CCNT2_Harvard,0.900361,0.802927,0.792896,0.658004
CEBPB_A549_CEBPB_Stanford,A549,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk,IgG+AC0-rab,CEBPB_A549_CEBPB_Stanford,0.992539,0.976239,0.946384,0.984648
CEBPB_H1_hESC_CEBPB_Stanford,H1+AC0-hESC,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescCebpbIggrabUniPk,IgG+AC0-rab,CEBPB_H1-hESC_CEBPB_Stanford,0.994563,0.992197,0.988088,0.988776
CEBPB_HeLa_S3_CEBPB_Stanford,HeLa+AC0-S3,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3CebpbIggrabUniPk,IgG+AC0-rab,CEBPB_HeLa-S3_CEBPB_Stanford,0.98892,0.974849,0.952944,0.97694
CEBPB_HepG2_CEBPB_(SC_150)_HudsonAlpha,HepG2,CEBPB,HudsonAlpha,None,CEBPB+AF8-(SC+AC0-150),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk,NA,CEBPB_HepG2_CEBPB_(SC-150)_HudsonAlpha,0.988076,0.97961,0.976828,0.977472
CEBPB_HepG2_CEBPB_Stanford,HepG2,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2CebpbIggrabUniPk,IgG+AC0-rab,CEBPB_HepG2_CEBPB_Stanford,0.989466,0.986441,0.963332,0.981832
CEBPB_IMR90_CEBPB_Stanford,IMR90,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk,IgG+AC0-rab,CEBPB_IMR90_CEBPB_Stanford,0.994804,0.983199,0.93748,0.985848
CEBPB_K562_CEBPB_(SC_150)_HudsonAlpha,K562,CEBPB,HudsonAlpha,None,CEBPB+AF8-(SC+AC0-150),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,NA,CEBPB_K562_CEBPB_(SC-150)_HudsonAlpha,0.979452,0.97675,0.961952,0.972616
CEBPB_K562_CEBPB_Stanford,K562,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,IgG+AC0-rab,CEBPB_K562_CEBPB_Stanford,0.993029,0.986081,0.928344,0.98494
