TF_CellLine_Antibody_Lab,DeepBind*,DeepBind,MEME-SUM,MEME-M1
ARID3A_HepG2_ARID3A_(NB100-279)_Stanford,0.91804,0.79135,0.77985,0.73801
ARID3A_K562_ARID3A_(sc-8821)_Stanford,0.88754,0.80989,0.79652,0.60868
ATF1_K562_ATF1_(06-325)_Harvard,0.93404,0.95286,0.89956,0.91806
ATF2_GM12878_ATF2_(SC-81188)_HudsonAlpha,0.93099,0.82465,0.79012,0.62545
ATF2_H1-hESC_ATF2_(SC-81188)_HudsonAlpha,0.85265,0.79878,0.76493,0.77610
ATF3_H1-hESC_ATF3_HudsonAlpha,0.95359,0.92307,0.88725,0.83956
ATF3_HepG2_ATF3_HudsonAlpha,0.93414,0.88794,0.87209,0.74378
ATF3_K562_ATF3_HudsonAlpha,0.87820,0.93583,0.87122,0.58221
BACH1_H1-hESC_Bach1_(sc-14700)_Stanford,0.96876,0.95071,0.88392,0.85739
BACH1_K562_Bach1_(sc-14700)_Stanford,0.98640,0.98067,0.94526,0.95084
BATF_GM12878_BATF_HudsonAlpha,0.98754,0.97148,0.93060,0.96059
BCL11A_GM12878_BCL11A_HudsonAlpha,0.96225,0.85562,0.85397,0.67765
BCL11A_H1-hESC_BCL11A_HudsonAlpha,0.91275,0.88145,0.81927,0.69289
BCL3_GM12878_BCL3_HudsonAlpha,0.87831,0.77409,0.61992,0.55247
BCL3_K562_BCL3_HudsonAlpha,0.74876,0.75566,0.69452,0.68102
BCLAF1_GM12878_BCLAF1_(SC-101388)_HudsonAlpha,0.78970,0.75335,0.74999,0.68796
BCLAF1_K562_BCLAF1_(SC-101388)_HudsonAlpha,0.79671,0.70794,0.69363,0.68603
BDP1_K562_BDP1_Harvard,0.71670,0.73563,0.55914,0.54736
BHLHE40_A549_BHLHE40_Stanford,0.92631,0.90839,0.89572,0.89350
BHLHE40_GM12878_BHLHE40_(NB100-1800)_Stanford,0.93160,0.90013,0.89354,0.89695
BHLHE40_HepG2_BHLHE40_(NB100-1800)_Stanford,0.92317,0.88107,0.89864,0.88116
BHLHE40_HepG2_BHLHE40_HudsonAlpha,0.96071,0.93983,0.92980,0.91720
BHLHE40_K562_BHLHE40_(NB100-1800)_Stanford,0.95703,0.94159,0.92504,0.93129
BRCA1_GM12878_BRCA1_(A300-000A)_Stanford,0.97483,0.96594,0.95696,0.95664
BRCA1_H1-hESC_BRCA1_(A300-000A)_Stanford,0.90337,0.89037,0.82463,0.80055
BRCA1_HeLa-S3_BRCA1_(A300-000A)_Stanford,0.93532,0.92837,0.89158,0.76154
CBX3_K562_CBX3_(SC-101004)_HudsonAlpha,0.86907,0.74760,0.61929,0.53214
CCNT2_K562_CCNT2_Harvard,0.90036,0.80293,0.79290,0.65800
CEBPB_A549_CEBPB_Stanford,0.99254,0.97624,0.94638,0.98465
CEBPB_H1-hESC_CEBPB_Stanford,0.99456,0.99220,0.98809,0.98878
CEBPB_HeLa-S3_CEBPB_Stanford,0.98892,0.97485,0.95294,0.97694
CEBPB_HepG2_CEBPB_(SC-150)_HudsonAlpha,0.98808,0.97961,0.97683,0.97747
CEBPB_HepG2_CEBPB_Stanford,0.98947,0.98644,0.96333,0.98183
CEBPB_IMR90_CEBPB_Stanford,0.99480,0.98320,0.93748,0.98585
CEBPB_K562_CEBPB_(SC-150)_HudsonAlpha,0.97945,0.97675,0.96195,0.97262
CEBPB_K562_CEBPB_Stanford,0.99303,0.98608,0.92834,0.98494
CEBPD_HepG2_CEBPD_(SC-636)_HudsonAlpha,0.92724,0.90210,0.88424,0.79998
CHD1_GM12878_CHD1_(A301-218A)_Stanford,0.69700,0.62525,0.56807,0.54681
CHD1_H1-hESC_CHD1_(A301-218A)_Broad,0.68805,0.58953,0.58128,0.55816
CHD1_K562_CHD1_(A301-218A)_Broad,0.70404,0.59703,0.50633,0.49039
CHD2_GM12878_CHD2_(AB68301)_Stanford,0.88408,0.85085,0.90539,0.71048
CHD2_H1-hESC_CHD2_(AB68301)_Stanford,0.94344,0.91905,0.89664,0.72502
CHD2_HeLa-S3_CHD2_(AB68301)_Stanford,0.83664,0.91512,0.88626,0.71606
CHD2_HepG2_CHD2_(AB68301)_Stanford,0.95999,0.91670,0.92530,0.90525
CHD2_K562_CHD2_(AB68301)_Stanford,0.95394,0.88826,0.87602,0.87303
CTBP2_H1-hESC_CtBP2_USC,0.78053,0.63362,0.61279,0.61049
CTCFL_K562_CTCFL_(SC-98982)_HudsonAlpha,0.98674,0.97344,0.97272,0.98093
CTCF_A549_CTCF_UT-A,0.99883,0.99543,0.95038,0.96428
CTCF_A549_CTCF_UW,0.99297,0.98582,0.95890,0.94642
CTCF_AG04449_CTCF_UW,0.99715,0.98988,0.92241,0.98095
CTCF_AG04450_CTCF_UW,0.99868,0.99764,0.92860,0.97378
CTCF_AG09309_CTCF_UW,0.99600,0.99483,0.93092,0.98428
CTCF_AG09319_CTCF_UW,0.99751,0.99607,0.97679,0.98030
CTCF_AG10803_CTCF_UW,0.99433,0.99704,0.94466,0.97032
CTCF_AoAF_CTCF_UW,0.99599,0.99370,0.96587,0.97349
CTCF_BE(2)-C_CTCF_UW,0.99578,0.98920,0.96662,0.97632
CTCF_BJ_CTCF_UW,0.99886,0.99571,0.96713,0.97638
CTCF_Caco-2_CTCF_UW,0.99691,0.99294,0.95365,0.98170
CTCF_Dnd41_CTCF_Broad,0.99479,0.99217,0.94410,0.97295
CTCF_Fibrobl_CTCF_UT-A,0.99461,0.99134,0.94927,0.97248
CTCF_GM06990_CTCF_UW,0.99163,0.99347,0.92048,0.97189
CTCF_GM12801_CTCF_UW,0.99706,0.99414,0.92607,0.97433
CTCF_GM12864_CTCF_UW,0.99834,0.99522,0.95802,0.96633
CTCF_GM12865_CTCF_UW,0.99801,0.99584,0.95814,0.97352
CTCF_GM12872_CTCF_UW,0.99821,0.99300,0.94726,0.97730
CTCF_GM12873_CTCF_UW,0.99918,0.99672,0.94087,0.96612
CTCF_GM12874_CTCF_UW,0.99666,0.99311,0.94050,0.96768
CTCF_GM12875_CTCF_UW,0.99778,0.99339,0.93836,0.97020
CTCF_GM12878_CTCF_(SC-15914)_Stanford,0.99424,0.99039,0.96362,0.96842
CTCF_GM12878_CTCF_Broad,0.99086,0.98758,0.93119,0.96952
CTCF_GM12878_CTCF_UT-A,0.99758,0.99332,0.95874,0.96751
CTCF_GM12878_CTCF_UW,0.99762,0.99588,0.88030,0.96543
CTCF_GM12891_CTCF_UT-A,0.99655,0.99572,0.95860,0.98025
CTCF_GM12892_CTCF_UT-A,0.99581,0.99374,0.96147,0.96144
CTCF_GM19238_CTCF_UT-A,0.99785,0.99382,0.96938,0.98067
CTCF_GM19239_CTCF_UT-A,0.99456,0.98523,0.97138,0.97151
CTCF_GM19240_CTCF_UT-A,0.99741,0.99530,0.95647,0.97484
CTCF_Gliobla_CTCF_UT-A,0.99431,0.99322,0.93427,0.96368
CTCF_H1-hESC_CTCF_(SC-5916)_HudsonAlpha,0.99110,0.98572,0.96159,0.96575
CTCF_H1-hESC_CTCF_Broad,0.99795,0.99164,0.88724,0.95497
CTCF_H1-hESC_CTCF_UT-A,0.99386,0.99450,0.94761,0.97243
CTCF_HA-sp_CTCF_UW,0.99892,0.99728,0.94978,0.98062
CTCF_HAc_CTCF_UW,0.99755,0.99315,0.96996,0.97644
CTCF_HBMEC_CTCF_UW,0.99911,0.99548,0.93397,0.97231
CTCF_HCFaa_CTCF_UW,0.99700,0.99413,0.96961,0.96378
CTCF_HCM_CTCF_UW,0.99503,0.98917,0.96244,0.97038
CTCF_HCPEpiC_CTCF_UW,0.99794,0.99359,0.91395,0.96074
CTCF_HCT-116_CTCF_UW,0.99682,0.99540,0.96572,0.96814
CTCF_HEEpiC_CTCF_UW,0.99723,0.99811,0.94817,0.97581
CTCF_HEK293_CTCF_UW,0.99778,0.99682,0.95450,0.95850
CTCF_HFF-Myc_CTCF_UW,0.99726,0.99500,0.95561,0.95855
CTCF_HFF_CTCF_UW,0.99626,0.99129,0.94363,0.96488
