Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control
HepG2,ARID3A,Stanford,None,ARID3A+AF8-(NB100+AC0-279),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk,IgG+AC0-rab
K562,ARID3A,Stanford,None,ARID3A+AF8-(sc+AC0-8821),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,IgG+AC0-rab
K562,ATF1,Harvard,None,ATF1+AF8-(06+AC0-325),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Atf106325UniPk,std
GM12878,ATF2,HudsonAlpha,None,ATF2+AF8-(SC+AC0-81188),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk,NA
H1+AC0-hESC,ATF2,HudsonAlpha,None,ATF2+AF8-(SC+AC0-81188),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescAtf2sc81188V0422111UniPk,NA
H1+AC0-hESC,ATF3,HudsonAlpha,None,ATF3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescAtf3V0416102UniPk,NA
HepG2,ATF3,HudsonAlpha,None,ATF3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Atf3V0416101UniPk,NA
K562,ATF3,HudsonAlpha,None,ATF3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk,NA
H1+AC0-hESC,BACH1,Stanford,None,Bach1+AF8-(sc+AC0-14700),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk,IgG+AC0-rab
K562,BACH1,Stanford,None,Bach1+AF8-(sc+AC0-14700),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,IgG+AC0-rab
GM12878,BATF,HudsonAlpha,None,BATF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk,NA
GM12878,BCL11A,HudsonAlpha,None,BCL11A,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk,NA
H1+AC0-hESC,BCL11A,HudsonAlpha,None,BCL11A,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk,NA
GM12878,BCL3,HudsonAlpha,None,BCL3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk,NA
K562,BCL3,HudsonAlpha,None,BCL3,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk,NA
GM12878,BCLAF1,HudsonAlpha,None,BCLAF1+AF8-(SC+AC0-101388),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk,NA
K562,BCLAF1,HudsonAlpha,None,BCLAF1+AF8-(SC+AC0-101388),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,NA
K562,BDP1,Harvard,None,BDP1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Bdp1UniPk,std
A549,BHLHE40,Stanford,None,BHLHE40,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhA549Bhlhe40IggrabUniPk,IgG+AC0-rab
GM12878,BHLHE40,Stanford,None,BHLHE40+AF8-(NB100+AC0-1800),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Bhlhe40cIggmusUniPk,IgG+AC0-mus
HepG2,BHLHE40,Stanford,None,BHLHE40+AF8-(NB100+AC0-1800),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Bhlhe40cIggrabUniPk,IgG+AC0-rab
HepG2,BHLHE40,HudsonAlpha,None,BHLHE40,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Bhlhe40V0416101UniPk,NA
K562,BHLHE40,Stanford,None,BHLHE40+AF8-(NB100+AC0-1800),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,IgG+AC0-rab
GM12878,BRCA1,Stanford,None,BRCA1+AF8-(A300+AC0-000A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,BRCA1,Stanford,None,BRCA1+AF8-(A300+AC0-000A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescBrca1IggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,BRCA1,Stanford,None,BRCA1+AF8-(A300+AC0-000A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Brca1a300IggrabUniPk,IgG+AC0-rab
K562,CBX3,HudsonAlpha,None,CBX3+AF8-(SC+AC0-101004),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk,NA
K562,CCNT2,Harvard,None,CCNT2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Ccnt2UniPk,std
A549,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk,IgG+AC0-rab
H1+AC0-hESC,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescCebpbIggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3CebpbIggrabUniPk,IgG+AC0-rab
HepG2,CEBPB,HudsonAlpha,None,CEBPB+AF8-(SC+AC0-150),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk,NA
HepG2,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2CebpbIggrabUniPk,IgG+AC0-rab
IMR90,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk,IgG+AC0-rab
K562,CEBPB,Stanford,None,CEBPB,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,IgG+AC0-rab
K562,CEBPB,HudsonAlpha,None,CEBPB+AF8-(SC+AC0-150),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk,NA
HepG2,CEBPD,HudsonAlpha,None,CEBPD+AF8-(SC+AC0-636),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Cebpdsc636V0416101UniPk,NA
GM12878,CHD1,Stanford,None,CHD1+AF8-(A301+AC0-218A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,CHD1,Broad,None,CHD1+AF8-(A301+AC0-218A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk,std
K562,CHD1,Broad,None,CHD1+AF8-(A301+AC0-218A),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk,std
GM12878,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk,IgG+AC0-mus
H1+AC0-hESC,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescChd2IggrabUniPk,IgG+AC0-rab
HeLa+AC0-S3,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Chd2IggrabUniPk,IgG+AC0-rab
